92311,6.9496,99100,45889,76
92345,5.7536,1.456e+05,42323,187
92346,5.809,2.373e+05,59995,253
92354,6.4615,2.763e+05,63871,104
92373,6.7915,3.685e+05,63948,265
92374,6.0694,2.477e+05,66590,169
92399,5.8794,2.251e+05,59302,374
92404,5.4342,1.603e+05,38767,84
92407,5.1237,1.924e+05,51702,106
92410,16.783,83100,27120,10
92411,4.5617,1.138e+05,32747,6
92501,4.5183,1.883e+05,48610,6
92504,7.2028,2.269e+05,57052,116
92508,6.4829,3.371e+05,92684,59
92509,5.3129,2.131e+05,57286,207
92530,5.8945,1.859e+05,49552,152
92532,5.5345,2.469e+05,87361,97
92543,6.3555,78500,27163,47
92544,6.2275,1.411e+05,42084,231
92545,5.5146,1.459e+05,40119,88
92548,7.0239,88700,39464,22
92551,38.664,1.704e+05,50449,35
92555,5.1255,2.37e+05,73352,102
92557,5.2907,2.038e+05,60655,127
92562,7.6348,3.029e+05,75448,550
92563,5.5895,2.839e+05,77105,304
92567,5.4722,2.13e+05,55069,41
92570,10.004,1.695e+05,42698,131
92571,5.3956,1.677e+05,51116,39
92582,5.8529,1.577e+05,58262,65
92583,5.8377,1.23e+05,39528,79
92584,5.8637,2.575e+05,75928,266
92585,5.7309,1.989e+05,63413,104
92586,4.6308,1.378e+05,36394,66
92587,7.433,2.702e+05,68620,187
92591,14.888,3.047e+05,70380,151
92592,6.524,3.332e+05,89541,503
92595,5.9667,2.302e+05,61525,171
92596,5.8418,2.787e+05,85914,170
92606,4.0392,6.627e+05,90228,38
92627,4.444,5.57e+05,57708,67
92648,5.1655,7.593e+05,85857,75
92701,5.4863,3.13e+05,39060,20
92703,3.1308,3.024e+05,50047,13
92704,25.507,3.434e+05,59412,29
92707,4.6066,3.184e+05,57038,22
92821,4.8409,5.16e+05,80163,124
92832,4.4802,4.171e+05,58853,41
92870,4.9438,5.123e+05,80037,206
92879,11.193,2.682e+05,62677,72
92880,5.5606,3.903e+05,1.013e+05,265
92881,6.1741,3.761e+05,94196,217
92882,5.0565,3.376e+05,71793,188
92883,5.6841,3.437e+05,93917,201
93001,4.6655,4.185e+05,54945,59
93004,4.7772,4.118e+05,76027,63
93015,6.4694,3.066e+05,56567,29
93021,5.9692,5.369e+05,99537,155
93023,6.4895,5.245e+05,64843,185
93030,4.5015,3.532e+05,57860,126
93033,4.8882,2.724e+05,55210,17
93036,4.3947,3.591e+05,65701,31
93040,2.8658,2.055e+05,45877,60
93060,6.637,3.165e+05,54782,28
93202,5.8506,1.075e+05,38733,8
93204,7.2627,1.151e+05,29302,9
93212,8.2152,1.151e+05,34565,17
93219,4.625,1.157e+05,23458,1
93221,6.5612,1.876e+05,48470,106
93223,7.404,1.055e+05,32273,10
93227,3.6423,0,0,48
93230,11.446,1.736e+05,53008,263
93234,24.63,1.188e+05,29304,3
93245,7.3954,1.972e+05,51280,147
93247,5.7849,1.437e+05,34505,79
93257,6.011,1.478e+05,39551,237
93263,5.8669,1.396e+05,40833,66
93267,7.6873,1.478e+05,33162,21
93270,6.9756,1.591e+05,27807,16
93272,4.835,1.218e+05,34505,4
93274,6.3297,1.599e+05,45591,237
93277,9.2645,1.691e+05,51056,184
93280,7.2523,1.231e+05,39206,26
93286,5.4507,1.382e+05,41579,33
93291,6.9608,2.113e+05,50833,267
93292,6.7917,1.694e+05,51341,170
93301,6.9438,1.11e+05,30963,24
93307,6.4344,1.07e+05,34358,67
93405,4.8502,5.663e+05,41488,111
93420,5.3983,5.208e+05,66506,238
93428,4.4079,6.287e+05,63514,16
93434,2.6407,1.959e+05,45191,14
93440,4.6884,3.642e+05,63112,15
93444,4.5129,3.915e+05,61379,128
93445,2.655,2.517e+05,50000,13
93446,8.4684,3.619e+05,64974,245
93451,6.2784,2.726e+05,54205,49
93465,6.1339,4.729e+05,83194,120
93550,6.9408,1.41e+05,38502,73
93552,6.4322,1.61e+05,56738,63
93555,6.0314,1.77e+05,62533,186
93610,8.5465,1.509e+05,39051,41
93611,6.4034,2.553e+05,77930,529
93612,5.0899,1.472e+05,37207,108
93614,6.2497,2.135e+05,50858,101
93616,7.3237,2e+05,31250,7
93618,7.5281,1.501e+05,38269,49
93622,5.6158,1.075e+05,32125,21
93625,6.6382,2.329e+05,42250,25
93630,6.1467,1.82e+05,42303,43
93631,7.8615,2.332e+05,58381,97
93635,5.6175,1.526e+05,45056,55
93636,8.0487,2.592e+05,75160,165
93638,7.8333,1.368e+05,36890,109
93640,5.6887,1.066e+05,25741,4
93647,6.6041,1.36e+05,32898,13
93650,6.7927,45000,31818,25
93654,6.5159,1.707e+05,47882,74
93657,7.126,1.789e+05,49785,136
93660,2.81,1.066e+05,26223,3
93701,3.2713,99700,18553,8
93702,3.7716,91000,26031,21
93703,4.6596,1.043e+05,28406,18
93704,6.142,2.024e+05,48461,100
93705,5.5196,1.269e+05,32635,40
